code,name,direction,trend,score,pattern,confidence,start_bar,end_bar
512200.SS,房地产ETF,UP,UP,90,看涨吞没,90,12,13
512690.SS,酒ETF,UP,DOWN,90,看涨吞没,90,11,12
512800.SS,银行ETF,UP,DOWN,90,看涨吞没,90,9,10
512100.SS,中证1000ETF,UP,UP,86,射击之星,83,11,11
512100.SS,中证1000ETF,UP,UP,86,看涨吞没,90,11,12
159628.SZ,中证2000ETF,UP,UP,86,射击之星,83,12,12
159628.SZ,中证2000ETF,UP,UP,86,看涨吞没,90,12,13
512600.SS,金融ETF,UP,UP,86,射击之星,83,11,11
512600.SS,金融ETF,UP,UP,86,看涨吞没,90,12,13
510900.SS,恒生科技ETF,UP,UP,85,锤子线,85,12,12
159869.SZ,动漫游戏ETF,UP,DOWN,85,锤子线,85,11,11
513130.SS,恒生科技ETF,UP,UP,85,锤子线,85,12,12
512400.SS,有色金属ETF,UP,UP,85,锤子线,85,13,13
159920.SZ,恒生ETF,UP,UP,84,射击之星,83,12,12
159920.SZ,恒生ETF,UP,UP,84,锤子线,85,13,13
515790.SS,光伏产业ETF,UP,UP,84,射击之星,83,11,11
515790.SS,光伏产业ETF,UP,UP,84,锤子线,85,12,12
515220.SS,煤炭ETF,UP,UP,84,看跌吞没,88,10,11
515220.SS,煤炭ETF,UP,UP,84,看涨吞没,90,11,12
515220.SS,煤炭ETF,UP,UP,84,连续阳线,75,12,13
159915.SZ,创业板ETF,UP,UP,82,射击之星,83,12,12
159915.SZ,创业板ETF,UP,UP,82,锤子线,85,13,13
159915.SZ,创业板ETF,UP,UP,82,连续阳线,80,11,13
513100.SS,纳指ETF,UP,UP,82,锤子线,85,12,12
513100.SS,纳指ETF,UP,UP,82,连续阳线,80,11,13
159941.SZ,纳指ETF100,UP,UP,82,锤子线,85,12,12
159941.SZ,纳指ETF100,UP,UP,82,连续阳线,80,11,13
512660.SS,军工ETF,UP,UP,82,射击之星,83,12,12
512660.SS,军工ETF,UP,UP,82,锤子线,85,13,13
512660.SS,军工ETF,UP,UP,82,连续阳线,80,11,13
159736.SZ,饮料ETF,UP,UP,82,射击之星,83,11,11
159736.SZ,饮料ETF,UP,UP,82,看涨吞没,90,11,12
159736.SZ,饮料ETF,UP,UP,82,连续阳线,75,12,13
159509.SZ,油气ETF,UP,UP,82,锤子线,85,11,11
159509.SZ,油气ETF,UP,UP,82,连续阳线,80,10,12
515980.SS,人工智能ETF,UP,UP,81,射击之星,83,11,11
515980.SS,人工智能ETF,UP,UP,81,连续阳线,80,10,12
510500.SS,500ETF,UP,UP,81,射击之星,83,12,12
510500.SS,500ETF,UP,UP,81,连续阳线,80,11,13
159819.SZ,AI算力ETF,UP,UP,81,射击之星,83,12,12
159819.SZ,AI算力ETF,UP,UP,81,连续阳线,80,11,13
510050.SS,50ETF,UP,UP,81,射击之星,83,11,11
510050.SS,50ETF,UP,UP,81,连续阳线,80,11,13
512500.SS,中证500ETF,UP,UP,81,射击之星,83,12,12
512500.SS,中证500ETF,UP,UP,81,连续阳线,80,11,13
515000.SS,科技ETF,UP,UP,81,射击之星,83,12,12
515000.SS,科技ETF,UP,UP,81,连续阳线,80,11,13
512480.SS,半导体ETF,UP,UP,80,连续阳线,80,11,13
512760.SS,芯片ETF,UP,UP,80,连续阳线,80,11,13
588000.SS,科创50ETF,UP,UP,80,连续阳线,80,11,13
159601.SZ,MSCI中国ETF,UP,UP,80,连续阳线,80,11,13
515030.SS,新能源车ETF,UP,UP,80,连续阳线,80,11,13
159995.SZ,芯片ETF,UP,UP,80,连续阳线,80,11,13
510310.SS,沪深300ETF,UP,UP,80,连续阳线,80,11,13
159919.SZ,沪深300ETF,UP,UP,80,连续阳线,80,11,13
159902.SZ,中小板ETF,UP,UP,80,连续阳线,80,11,13
512380.SS,医疗ETF,UP,UP,80,连续阳线,80,11,13
159632.SZ,酒ETF,UP,UP,80,连续阳线,80,11,13
159813.SZ,芯片ETF,UP,UP,80,连续阳线,80,11,13
159667.SZ,机器人ETF,UP,UP,80,连续阳线,80,11,13
159865.SZ,光伏ETF,DOWN,UP,88,看跌吞没,88,11,12
515210.SS,钢铁ETF,DOWN,DOWN,88,看跌吞没,88,11,12
159825.SZ,农业ETF,DOWN,UP,88,看跌吞没,88,11,12
515880.SS,通信ETF,DOWN,UP,85,射击之星,83,12,12
515880.SS,通信ETF,DOWN,UP,85,看跌吞没,88,12,13
513500.SS,标普500ETF,DOWN,UP,83,射击之星,83,12,12
515050.SS,5G ETF,DOWN,UP,83,射击之星,83,11,11
159888.SZ,数字经济ETF,DOWN,UP,83,射击之星,83,12,12
159888.SZ,数字经济ETF,DOWN,UP,83,射击之星,83,13,13
159611.SZ,石油ETF,DOWN,UP,83,射击之星,83,13,13
515120.SS,创新药ETF,DOWN,DOWN,83,射击之星,83,11,11
159301.SZ,中药ETF,DOWN,UP,83,射击之星,83,12,12
512170.SS,医疗ETF,DOWN,UP,79,射击之星,83,13,13
512170.SS,医疗ETF,DOWN,UP,79,连续阳线,75,12,13
512010.SS,医药ETF,NEUTRAL,UP,75,连续阳线,75,12,13
