代码,名称,形态,综合评分,趋势,方向
510500.SS,500ETF,✅平头底,100,up,看涨
159915.SZ,创业板ETF,📊上升回踩,100,up,看涨
588000.SS,科创50ETF,🔥连续阳线,100,up,看涨
588080.SS,科创50ETF2,🔥连续阳线,100,up,看涨
512480.SS,半导体ETF,🔥连续阳线,100,up,看涨
515050.SS,5G ETF,📊上升回踩,100,up,看涨
515980.SS,人工智能,🔥连续阳线,100,up,看涨
512660.SS,军工ETF,🔥连续阳线,100,up,看涨
515220.SS,煤炭ETF,✅平头底,100,up,看涨
513050.SS,中概互联网,❌晚星,100,down,看跌
159605.SZ,中概互联2,❌暗云盖顶,100,down,看跌
159792.SZ,游戏ETF2,❌晚星,100,down,看跌
159607.SZ,科创做市,❌暗云盖顶,100,down,看跌
518880.SS,黄金ETF,📊上升回踩,100,up,看涨
159934.SZ,黄金ETF2,📊上升回踩,100,up,看涨
512980.SS,豆粕ETF,📊上升回踩,100,up,看涨
159985.SZ,豆粕ETF2,📊上升回踩,100,up,看涨
561350.SS,能源化工,✅平头底,100,up,看涨
159827.SZ,能源ETF2,✅刺穿线,100,up,看涨
511380.SS,可转债ETF,✅平头底,100,up,看涨
159801.SZ,芯片设备,🔥连续阳线,100,up,看涨
513020.SS,德国DAX,❌看跌吞没,99,down,看跌
512000.SS,券商ETF,❌平头顶,99,down,看跌
159805.SZ,创业板成长,📊上升回踩,99,up,看涨
159941.SZ,纳指ETF2,🔥连续阳线,97,sideways,看涨
511800.SS,货币ETF,🔥连续阳线,97,sideways,看涨
510050.SS,50ETF,🔥连续阳线,96,sideways,看涨
510100.SS,上证指数ETF,🔥连续阳线,96,sideways,看涨
512690.SS,酒ETF,❌平头顶,96,down,看跌
512170.SS,医疗ETF,❌暗云盖顶,95,down,看跌
513500.SS,纳指ETF,🔥连续阳线,95,sideways,看涨
513100.SS,纳指100,🔥连续阳线,95,sideways,看涨
159509.SZ,港股消费,🔥连续阳线,95,sideways,看涨
513130.SS,标普消费,❌晚星,95,down,看跌
513080.SS,港股通ETF,⚡连续阴线,93,sideways,看跌
510300.SS,300ETF,🔥连续阳线,92,sideways,看涨
159865.SZ,游戏ETF,✅刺穿线,92,sideways,看涨
159631.SZ,港股金融,🔥连续阳线,92,sideways,看涨
511260.SS,十年国债,🔥连续阳线,92,sideways,看涨
159919.SZ,深证100,🔥连续阳线,91,sideways,看涨
510330.SS,沪深300ETF,🔥连续阳线,90,sideways,看涨
511010.SS,国债ETF,🔥连续阳线,90,sideways,看涨
511030.SS,企债ETF,✅平头底,83,sideways,看涨
159869.SZ,机器人ETF,✅平头底,82,sideways,看涨
513550.SS,港股医药,📊上升回踩,80,sideways,看涨
511090.SS,货币ETF2,📊横盘整理,79,sideways,看涨
512760.SS,芯片ETF,🔥连续阳线,59,down,看涨
513300.SS,标普500,🔥连续阳线,53,down,看涨
159928.SZ,消费ETF,📊横盘整理,43,down,看涨
512010.SS,医药ETF,✅平头底,41,down,看涨
