rank,symbol,name,pattern,confidence,score,trend,signal_count,img
1,002773.SZ,002773,✅看涨吞没,100%,76.0,down,2,/root/kline-yolo/images_v3/002773_SZ.png
2,688981.SS,688981,✅看涨吞没,97%,75.13301610966026,up,2,/root/kline-yolo/images_v3/688981_SS.png
3,688981.SS,688981,✅看涨吞没,97%,75.13301610966026,up,2,/root/kline-yolo/images_v3/688981_SS.png
4,002044.SZ,002044,✅看涨吞没,92%,72.60576223771987,down,3,/root/kline-yolo/images_v3/002044_SZ.png
5,002390.SZ,002390,❌看跌吞没,90%,72.06397064275085,up,2,/root/kline-yolo/images_v3/002390_SZ.png
6,002510.SZ,002510,✅看涨吞没,88%,71.04247003698137,down,2,/root/kline-yolo/images_v3/002510_SZ.png
7,688223.SS,688223,❌暗云盖顶,70%,70.4,down,2,/root/kline-yolo/images_v3/688223_SS.png
8,600893.SS,600893,✅看涨吞没,86%,70.26580493719933,down,2,/root/kline-yolo/images_v3/600893_SS.png
9,002146.SZ,002146,❌看跌吞没,100%,70.0,down,2,/root/kline-yolo/images_v3/002146_SZ.png
10,300529.SZ,300529,✅看涨吞没,99%,69.96041496064126,up,4,/root/kline-yolo/images_v3/300529_SZ.png
11,600299.SS,600299,❌暗云盖顶,70%,69.4,down,1,/root/kline-yolo/images_v3/600299_SS.png
12,600585.SS,600585,✅看涨吞没,82%,68.37647380674986,down,2,/root/kline-yolo/images_v3/600585_SS.png
13,600000.SS,600000,❌看跌吞没,100%,67.0,down,1,/root/kline-yolo/images_v3/600000_SS.png
14,603102.SS,603102,✅看涨吞没,85%,66.83312140411792,down,2,/root/kline-yolo/images_v3/603102_SS.png
15,002837.SZ,002837,❌看跌吞没,92%,66.54660841806401,down,2,/root/kline-yolo/images_v3/002837_SZ.png
16,002428.SZ,002428,❌看跌吞没,88%,66.04328034237129,up,2,/root/kline-yolo/images_v3/002428_SZ.png
17,600032.SS,600032,❌晚星,75%,65.75,up,1,/root/kline-yolo/images_v3/600032_SS.png
18,601288.SS,601288,✅看涨吞没,86%,65.4203219175385,up,4,/root/kline-yolo/images_v3/601288_SS.png
19,601288.SS,601288,✅看涨吞没,86%,65.4203219175385,up,4,/root/kline-yolo/images_v3/601288_SS.png
20,002745.SZ,002745,❌暗云盖顶,70%,64.65,up,1,/root/kline-yolo/images_v3/002745_SZ.png
21,600208.SS,600208,✅W底,72%,64.49,up,2,/root/kline-yolo/images_v3/600208_SS.png
22,002120.SZ,002120,✅W底,72%,64.49,up,2,/root/kline-yolo/images_v3/002120_SZ.png
23,002975.SZ,002975,✅W底,72%,64.49,up,1,/root/kline-yolo/images_v3/002975_SZ.png
24,600271.SS,600271,❌看跌吞没,80%,64.41362047502409,down,2,/root/kline-yolo/images_v3/600271_SS.png
25,600036.SS,600036,✅刺穿线,70%,64.4,down,1,/root/kline-yolo/images_v3/600036_SS.png
26,600050.SS,600050,❌看跌吞没,100%,64.0,down,2,/root/kline-yolo/images_v3/600050_SS.png
27,603456.SS,603456,❌看跌吞没,100%,64.0,down,1,/root/kline-yolo/images_v3/603456_SS.png
28,002506.SZ,002506,❌看跌吞没,100%,64.0,down,1,/root/kline-yolo/images_v3/002506_SZ.png
29,601398.SS,601398,✅刺穿线,70%,63.65,up,1,/root/kline-yolo/images_v3/601398_SS.png
30,601398.SS,601398,✅刺穿线,70%,63.65,up,1,/root/kline-yolo/images_v3/601398_SS.png
31,300450.SZ,300450,✅刺穿线,70%,63.65,up,1,/root/kline-yolo/images_v3/300450_SZ.png
32,601390.SS,601390,❌暗云盖顶,70%,63.4,down,1,/root/kline-yolo/images_v3/601390_SS.png
33,000543.SZ,000543,✅看涨吞没,84%,63.36823042687152,down,2,/root/kline-yolo/images_v3/000543_SZ.png
34,601186.SS,601186,❌暗云盖顶,70%,61.74351293038167,down,1,/root/kline-yolo/images_v3/601186_SS.png
35,600028.SS,600028,✅看涨吞没,79%,61.25622996203907,down,2,/root/kline-yolo/images_v3/600028_SS.png
36,300601.SZ,300601,✅刺穿线,70%,60.65,up,2,/root/kline-yolo/images_v3/300601_SZ.png
37,002415.SZ,002415,✅看涨吞没,91%,60.57984771361669,up,2,/root/kline-yolo/images_v3/002415_SZ.png
38,601236.SS,601236,✅刺穿线,70%,60.4,down,1,/root/kline-yolo/images_v3/601236_SS.png
39,000301.SZ,000301,✅看涨吞没,90%,59.94689438229701,up,1,/root/kline-yolo/images_v3/000301_SZ.png
40,603899.SS,603899,✅看涨吞没,90%,59.75838009322792,down,1,/root/kline-yolo/images_v3/603899_SS.png
41,601985.SS,601985,❌暗云盖顶,70%,58.65,up,2,/root/kline-yolo/images_v3/601985_SS.png
42,600177.SS,600177,❌暗云盖顶,70%,58.65,up,1,/root/kline-yolo/images_v3/600177_SS.png
43,601985.SS,601985,❌暗云盖顶,70%,58.65,up,2,/root/kline-yolo/images_v3/601985_SS.png
44,600150.SS,600150,✅W底,72%,58.489999999999995,up,1,/root/kline-yolo/images_v3/600150_SS.png
45,000977.SZ,000977,✅W底,72%,58.489999999999995,up,1,/root/kline-yolo/images_v3/000977_SZ.png
46,002938.SZ,002938,✅W底,72%,58.489999999999995,up,1,/root/kline-yolo/images_v3/002938_SZ.png
47,000938.SZ,000938,✅W底,72%,58.489999999999995,up,1,/root/kline-yolo/images_v3/000938_SZ.png
48,300142.SZ,300142,✅W底,72%,58.489999999999995,up,2,/root/kline-yolo/images_v3/300142_SZ.png
49,000400.SZ,000400,❌暗云盖顶,70%,58.4,down,1,/root/kline-yolo/images_v3/000400_SZ.png
50,002601.SZ,002601,❌暗云盖顶,70%,58.4,down,1,/root/kline-yolo/images_v3/002601_SZ.png
51,600023.SS,600023,✅看涨吞没,72%,58.37916756689993,up,2,/root/kline-yolo/images_v3/600023_SS.png
52,000538.SZ,000538,✅看涨吞没,79%,57.8992066844643,down,1,/root/kline-yolo/images_v3/000538_SZ.png
53,601998.SS,601998,❌暗云盖顶,70%,57.65,up,1,/root/kline-yolo/images_v3/601998_SS.png
54,601998.SS,601998,❌暗云盖顶,70%,57.65,up,1,/root/kline-yolo/images_v3/601998_SS.png
55,603259.SS,603259,✅刺穿线,70%,57.65,up,1,/root/kline-yolo/images_v3/603259_SS.png
56,603259.SS,603259,✅刺穿线,70%,57.65,up,1,/root/kline-yolo/images_v3/603259_SS.png
57,300759.SZ,300759,✅刺穿线,70%,57.65,up,1,/root/kline-yolo/images_v3/300759_SZ.png
58,600276.SS,600276,✅刺穿线,70%,57.4,down,1,/root/kline-yolo/images_v3/600276_SS.png
59,600519.SS,600519,❌暗云盖顶,70%,57.4,down,1,/root/kline-yolo/images_v3/600519_SS.png
60,600519.SS,600519,❌暗云盖顶,70%,57.4,down,1,/root/kline-yolo/images_v3/600519_SS.png
61,603501.SS,603501,✅刺穿线,70%,57.4,down,1,/root/kline-yolo/images_v3/603501_SS.png
62,000898.SZ,000898,✅刺穿线,70%,57.4,down,1,/root/kline-yolo/images_v3/000898_SZ.png
